County,SAIDI,SAIFI,FIPS,State
Adams,0.0,<0.0001,17001,Illinois
Alexander,0.0,<0.0001,17003,Illinois
Bond,0.0,<0.0001,17005,Illinois
Boone,0.0,<0.0001,17007,Illinois
Brown,0.0,<0.0001,17009,Illinois
Bureau,0.0,<0.0001,17011,Illinois
Calhoun,0.0,<0.0001,17013,Illinois
Carroll,0.0024,0.0019,17015,Illinois
Cass,0.0,<0.0001,17017,Illinois
Champaign,0.0,<0.0001,17019,Illinois
Christian,0.0,<0.0001,17021,Illinois
Clark,0.0,<0.0001,17023,Illinois
Clay,0.0,<0.0001,17025,Illinois
Clinton,0.002,0.0004,17027,Illinois
Coles,0.0,<0.0001,17029,Illinois
Cook,0.0006,0.0008,17031,Illinois
Crawford,0.0026,0.0011,17033,Illinois
Cumberland,0.0,<0.0001,17035,Illinois
Dekalb,0.0,<0.0001,17037,Illinois
Dewitt,0.0,<0.0001,,
Douglas,0.0,<0.0001,17041,Illinois
Dupage,0.0002,<0.0001,17043,Illinois
Edgar,0.0,<0.0001,17045,Illinois
Edwards,0.0,<0.0001,17047,Illinois
Effingham,0.0001,0.0004,17049,Illinois
Fayette,0.0,<0.0001,17051,Illinois
Ford,0.0,<0.0001,17053,Illinois
Franklin,0.0445,0.1666,17055,Illinois
Fulton,0.0,<0.0001,17057,Illinois
Gallatin,0.0,<0.0001,17059,Illinois
Greene,0.0,<0.0001,17061,Illinois
Grundy,0.0,<0.0001,17063,Illinois
Hamilton,0.0581,0.2323,17065,Illinois
Hancock,0.0,<0.0001,17067,Illinois
Hardin,0.0,<0.0001,17069,Illinois
Henderson,0.0,<0.0001,17071,Illinois
Henry,0.0003,0.0003,17073,Illinois
Iroquois,0.0,<0.0001,17075,Illinois
Jackson,0.0,<0.0001,17077,Illinois
Jasper,0.0135,0.0147,17079,Illinois
Jefferson,0.0,<0.0001,17081,Illinois
Jersey,0.0,<0.0001,17083,Illinois
Jo Daviess,0.0014,0.0018,17085,Illinois
Johnson,0.0001,0.0001,17087,Illinois
Kane,0.0001,0.0001,17089,Illinois
Kankakee,0.0001,0.0001,17091,Illinois
Kendall,0.0001,0.0001,17093,Illinois
Knox,0.0041,0.0007,17095,Illinois
Lake,0.0013,0.0005,17097,Illinois
Lasalle,0.0015,0.0014,17099,Illinois
Lawrence,0.0,<0.0001,17101,Illinois
Lee,0.0,<0.0001,17103,Illinois
Livingston,0.0,<0.0001,17105,Illinois
Logan,0.0,<0.0001,17107,Illinois
Macon,0.0,<0.0001,17115,Illinois
Macoupin,0.0,<0.0001,17117,Illinois
Madison,0.0005,0.0006,17119,Illinois
Marion,0.0001,0.0001,17121,Illinois
Marshall,0.0,<0.0001,17123,Illinois
Mason,0.0,<0.0001,17125,Illinois
Massac,0.0,<0.0001,17127,Illinois
Mcdonough,0.0,<0.0001,17109,Illinois
Mchenry,0.0001,0.0001,17111,Illinois
Mclean,0.0005,0.0004,17113,Illinois
Menard,0.0,<0.0001,17129,Illinois
Mercer,0.0,<0.0001,17131,Illinois
Monroe,0.0,<0.0001,17133,Illinois
Montgomery,0.0,<0.0001,17135,Illinois
Morgan,0.0,<0.0001,17137,Illinois
Moultrie,0.0,<0.0001,17139,Illinois
Ogle,0.0001,0.0002,17141,Illinois
Peoria,0.0,<0.0001,17143,Illinois
Perry,0.0,<0.0001,17145,Illinois
Piatt,0.0,<0.0001,17147,Illinois
Pike,0.0,<0.0001,17149,Illinois
Pope,0.004,0.0056,17151,Illinois
Pulaski,0.0,<0.0001,17153,Illinois
Putnam,0.0,<0.0001,17155,Illinois
Randolph,0.0,<0.0001,17157,Illinois
Richland,0.0,<0.0001,17159,Illinois
Rock Island,0.0003,0.0002,17161,Illinois
Saline,0.0047,0.0175,17165,Illinois
Sangamon,0.0,<0.0001,17167,Illinois
Schuyler,0.0,<0.0001,17169,Illinois
Scott,0.0001,<0.0001,17171,Illinois
Shelby,0.0,<0.0001,17173,Illinois
St. Clair,0.0,<0.0001,17163,Illinois
Stark,0.0,<0.0001,17175,Illinois
Stephenson,<0.0001,0.0002,17177,Illinois
Tazewell,0.0,<0.0001,17179,Illinois
Union,0.0,<0.0001,17181,Illinois
Vermilion,0.0,<0.0001,17183,Illinois
Wabash,0.0,<0.0001,17185,Illinois
Warren,0.0,<0.0001,17187,Illinois
Washington,0.0,<0.0001,17189,Illinois
Wayne,0.0,<0.0001,17191,Illinois
White,0.0,<0.0001,17193,Illinois
Whiteside,0.0,<0.0001,17195,Illinois
Will,0.0003,0.0003,17197,Illinois
Williamson,0.0019,0.007,17199,Illinois
Winnebago,<0.0001,0.0001,17201,Illinois
Woodford,0.0,<0.0001,17203,Illinois
