raw,standard,score
saluda,saluda,100.0
barnwell,barnwell,100.0
horry,horry,100.0
dorchester,dorchester,100.0
mccormick,mccormick,100.0
hampton,hampton,100.0
edgefield,edgefield,100.0
charleston,charleston,100.0
greenwood,greenwood,100.0
allendale,allendale,100.0
beaufort,beaufort,100.0
jasper,jasper,100.0
kershaw,kershaw,100.0
lexington,lexington,100.0
georgetown,georgetown,100.0
union,union,100.0
abbeville,abbeville,100.0
bamberg,bamberg,100.0
richland,richland,100.0
berkeley,berkeley,100.0
newberry,newberry,100.0
fairfield,fairfield,100.0
aiken,aiken,100.0
colleton,colleton,100.0
calhoun,calhoun,100.0
orangeburg,orangeburg,100.0
